dia;linea_Servicio;Hora;Afluencia
16/04/2019;B;4:00:00;2718
17/04/2019;B;4:00:00;2670
18/04/2019;B;4:00:00;540
19/04/2019;B;4:00:00;445
20/04/2019;B;4:00:00;1159
21/04/2019;B;4:00:00;448
22/04/2019;B;4:00:00;2659
23/04/2019;B;4:00:00;2918
24/04/2019;B;4:00:00;2504
25/04/2019;B;4:00:00;512
26/04/2019;B;4:00:00;
27/04/2019;B;4:00:00;1630
28/04/2019;B;4:00:00;517
29/04/2019;B;4:00:00;2658
30/04/2019;B;4:00:00;2721
1/05/2019;B;4:00:00;703
2/05/2019;B;4:00:00;2643
3/05/2019;B;4:00:00;2652
4/05/2019;B;4:00:00;2043
5/05/2019;B;4:00:00;571
6/05/2019;B;4:00:00;2690
7/05/2019;B;4:00:00;2558
8/05/2019;B;4:00:00;2577
9/05/2019;B;4:00:00;2514
10/05/2019;B;4:00:00;2531
11/05/2019;B;4:00:00;2052
12/05/2019;B;4:00:00;569
13/05/2019;B;4:00:00;2595
14/05/2019;B;4:00:00;2547
15/05/2019;B;4:00:00;2623
16/05/2019;B;4:00:00;2574
17/05/2019;B;4:00:00;2479
18/05/2019;B;4:00:00;2055
19/05/2019;B;4:00:00;501
20/05/2019;B;4:00:00;2600
21/05/2019;B;4:00:00;2637
22/05/2019;B;4:00:00;2504
23/05/2019;B;4:00:00;2608
24/05/2019;B;4:00:00;2608
25/05/2019;B;4:00:00;2077
26/05/2019;B;4:00:00;635
27/05/2019;B;4:00:00;2341
28/05/2019;B;4:00:00;2587
29/05/2019;B;4:00:00;2642
30/05/2019;B;4:00:00;2602
31/05/2019;B;4:00:00;2547
1/06/2019;B;4:00:00;2155
2/06/2019;B;4:00:00;542
3/06/2019;B;4:00:00;528
4/06/2019;B;4:00:00;2364
5/06/2019;B;4:00:00;2601
6/06/2019;B;4:00:00;2544
7/06/2019;B;4:00:00;2506
8/06/2019;B;4:00:00;2090
9/06/2019;B;4:00:00;607
10/06/2019;B;4:00:00;2613
11/06/2019;B;4:00:00;2584
12/06/2019;B;4:00:00;2547
13/06/2019;B;4:00:00;2530
14/06/2019;B;4:00:00;2514
15/06/2019;B;4:00:00;1862
16/06/2019;B;4:00:00;464
17/06/2019;B;4:00:00;2412
18/06/2019;B;4:00:00;2479
19/06/2019;B;4:00:00;2594
20/06/2019;B;4:00:00;2494
21/06/2019;B;4:00:00;2511
22/06/2019;B;4:00:00;2002
23/06/2019;B;4:00:00;578
24/06/2019;B;4:00:00;599
25/06/2019;B;4:00:00;2570
26/06/2019;B;4:00:00;2476
27/06/2019;B;4:00:00;2480
28/06/2019;B;4:00:00;2506
29/06/2019;B;4:00:00;2056
30/06/2019;B;4:00:00;560
1/07/2019;B;4:00:00;562
2/07/2019;B;4:00:00;2669
3/07/2019;B;4:00:00;2519
4/07/2019;B;4:00:00;2530
5/07/2019;B;4:00:00;2491
6/07/2019;B;4:00:00;2104
7/07/2019;B;4:00:00;582
8/07/2019;B;4:00:00;2730
9/07/2019;B;4:00:00;2565
10/07/2019;B;4:00:00;2524
11/07/2019;B;4:00:00;2610
12/07/2019;B;4:00:00;2600
13/07/2019;B;4:00:00;2039
14/07/2019;B;4:00:00;583
15/07/2019;B;4:00:00;2577
16/07/2019;B;4:00:00;2600
17/07/2019;B;4:00:00;2541
18/07/2019;B;4:00:00;2539
19/07/2019;B;4:00:00;2494
20/07/2019;B;4:00:00;822
21/07/2019;B;4:00:00;496
22/07/2019;B;4:00:00;2725
23/07/2019;B;4:00:00;2643
24/07/2019;B;4:00:00;2608
25/07/2019;B;4:00:00;2597
26/07/2019;B;4:00:00;2578
27/07/2019;B;4:00:00;2108
28/07/2019;B;4:00:00;570
29/07/2019;B;4:00:00;2679
30/07/2019;B;4:00:00;2610
31/07/2019;B;4:00:00;2603
1/08/2019;B;4:00:00;2594
2/08/2019;B;4:00:00;2607
3/08/2019;B;4:00:00;2161
4/08/2019;B;4:00:00;724
5/08/2019;B;4:00:00;2753
6/08/2019;B;4:00:00;2597
7/08/2019;B;4:00:00;895
8/08/2019;B;4:00:00;2774
9/08/2019;B;4:00:00;2652
10/08/2019;B;4:00:00;2083
11/08/2019;B;4:00:00;592
12/08/2019;B;4:00:00;2807
13/08/2019;B;4:00:00;2681
14/08/2019;B;4:00:00;2604
15/08/2019;B;4:00:00;2707
16/08/2019;B;4:00:00;2636
17/08/2019;B;4:00:00;2118
18/08/2019;B;4:00:00;558
19/08/2019;B;4:00:00;607
20/08/2019;B;4:00:00;2814
21/08/2019;B;4:00:00;2730
22/08/2019;B;4:00:00;2683
23/08/2019;B;4:00:00;2680
24/08/2019;B;4:00:00;2202
25/08/2019;B;4:00:00;620
26/08/2019;B;4:00:00;2777
27/08/2019;B;4:00:00;2688
28/08/2019;B;4:00:00;2692
29/08/2019;B;4:00:00;2709
30/08/2019;B;4:00:00;2728
31/08/2019;B;4:00:00;2187
1/09/2019;B;4:00:00;618
2/09/2019;B;4:00:00;2766
3/09/2019;B;4:00:00;2829
4/09/2019;B;4:00:00;2771
5/09/2019;B;4:00:00;
6/09/2019;B;4:00:00;86
7/09/2019;B;4:00:00;2271
8/09/2019;B;4:00:00;691
9/09/2019;B;4:00:00;2752
10/09/2019;B;4:00:00;2707
11/09/2019;B;4:00:00;2699
12/09/2019;B;4:00:00;2628
13/09/2019;B;4:00:00;2605
14/09/2019;B;4:00:00;2254
15/09/2019;B;4:00:00;612
