linea_origen;estacion_origen;linea_destino;estacion_destino;distancia
A;Exposiciones;A;Bello;10823,20947
A;Industriales;A;Bello;11783,54798
A;Poblado;A;Bello;13783,29552
A;Aguacatala;A;Bello;15843,88498
A;Ayurá;A;Bello;16822,53308
A;Envigado;A;Bello;18581,24411
A;Itaguí;A;Bello;20277,27484
A;Sabaneta;A;Bello;21464,26745
A;Tricentenario;A;Madera;3062,260505
A;Caribe;A;Madera;4485,953779
A;Universidad;A;Madera;5546,147797
A;Hospital;A;Madera;6215,359646
A;Prado;A;Madera;7057,837051
A;Parque Berrío;A;Madera;7796,120252
A;San Antonio;A;Madera;8196,273464
A;Alpujarra;A;Madera;8706,240638
A;Exposiciones;A;Madera;9239,490192
A;Industriales;A;Madera;10199,8287
A;Poblado;A;Madera;12199,57624
A;Aguacatala;A;Madera;14260,1657
A;Ayurá;A;Madera;15238,8138
A;Envigado;A;Madera;16997,52483
A;Itaguí;A;Madera;18693,55556
A;Sabaneta;A;Madera;19880,54817
A;La Estrella;A;Madera;21125,15092
A;Caribe;A;Acevedo;2687,912472
A;Universidad;A;Acevedo;4111,605746
A;Hospital;A;Acevedo;5171,799764
A;Prado;A;Acevedo;5841,011613
A;Parque Berrío;A;Acevedo;6683,489018
A;San Antonio;A;Acevedo;7421,772219
A;Alpujarra;A;Acevedo;7821,925431
A;Exposiciones;A;Acevedo;8331,892605
A;Industriales;A;Acevedo;8865,142159
A;Poblado;A;Acevedo;9825,480663
A;Aguacatala;A;Acevedo;11825,22821
A;Ayurá;A;Acevedo;13885,81767
A;Envigado;A;Acevedo;14864,46577
A;Itaguí;A;Acevedo;16623,17679
A;Sabaneta;A;Acevedo;18319,20753
A;La Estrella;A;Acevedo;19506,20014
A;Universidad;A;Tricentenario;2483,887292
A;Hospital;A;Tricentenario;3153,099142
A;Prado;A;Tricentenario;3995,576547
A;Parque Berrío;A;Tricentenario;4733,859747
A;San Antonio;A;Tricentenario;5134,012959
A;Alpujarra;A;Tricentenario;5643,980133
A;Exposiciones;A;Tricentenario;6177,229687
A;Industriales;A;Tricentenario;7137,568191
A;Poblado;A;Tricentenario;9137,315736
A;Aguacatala;A;Tricentenario;11197,9052
A;Ayurá;A;Tricentenario;12176,55329
A;Envigado;A;Tricentenario;13935,26432
A;Itaguí;A;Tricentenario;15631,29506
A;Sabaneta;A;Tricentenario;16818,28767
A;La Estrella;A;Tricentenario;18062,89041
A;Hospital;A;Caribe;1729,405868
A;Prado;A;Caribe;2571,883272
A;Parque Berrío;A;Caribe;3310,166473
A;San Antonio;A;Caribe;3710,319685
A;Alpujarra;A;Caribe;4220,286859
A;Exposiciones;A;Caribe;4753,536413
A;Industriales;A;Caribe;5713,874917
A;Poblado;A;Caribe;7713,622462
A;Aguacatala;A;Caribe;9774,211923
A;Ayurá;A;Caribe;10752,86002
A;Envigado;A;Caribe;12511,57105
A;Itaguí;A;Caribe;14207,60178
A;Sabaneta;A;Caribe;15394,59439
A;La Estrella;A;Caribe;16639,19714
A;Prado;A;Universidad;1511,689255
